dia,horario,title,episodeName,content_episode,mediaId
04/03/2026,13:35,Show do Milhão,Programa de 15/04/2001,163,6c44d0b9-3ed3-423b-af02-6c6460da2620
04/03/2026,13:48,Porta da Esperança,Programa de 10/05/1987,7,6362543479112
04/03/2026,14:45,Programa do Ratinho,Programa de 17/10/98,Episódio 34,98008609_programadoratinho_1998_034_01
04/03/2026,16:05,Eliana & Cia,Programa de 01/10/1997,118,005bbfac-a252-4792-9d23-6dc5b9e7bf45
04/03/2026,16:48,Táxi do Gugu,ET,23,07af3fb1-828f-46fc-abf5-39e1fa1c0726
04/03/2026,17:01,Programa Livre,Programa de 18/08/1993,104,86c60ba1-00d8-45a9-847f-95274fcaac6b
04/03/2026,17:57,Casos de Família,Programa de 17/06/2009,31,6372905475112
04/03/2026,18:51,Táxi do Gugu,3. A Lotação,3,6368325066112
04/03/2026,19:01,Canta e Dança Minha Gente,Programa de 21/01/2001,52,6366289356112
04/03/2026,19:57,TV Animal,Programa de 15/11/1995,28,6365677978112
04/03/2026,20:41,Show do Milhão,Programa de 15/04/2001,163,6c44d0b9-3ed3-423b-af02-6c6460da2620
04/03/2026,21:49,Porta da Esperança,Programa de 10/05/1987,7,6362543479112
04/03/2026,22:47,Programa do Ratinho,Programa de 17/10/98,Episódio 34,98008609_programadoratinho_1998_034_01
05/03/2026,00:06,Eliana & Cia,Programa de 01/10/1997,118,005bbfac-a252-4792-9d23-6dc5b9e7bf45
05/03/2026,00:49,Eliana & Cia,Programa de 02/10/1997,119,c3207de3-4054-4380-99d0-1d27955ecc03
05/03/2026,01:28,Programa Livre,Programa de 19/08/1993,105,19006fd5-b71c-4632-b19c-010a2b4b0eb3
05/03/2026,02:40,Casos de Família,Programa de 18/06/2009,84,6373494544112
05/03/2026,03:33,Vamos Nessa,Programa de 07/07/1983,3,6375688623112
05/03/2026,04:13,Passa ou Repassa,Programa de 28/11/1995,59,6366911293112
05/03/2026,04:47,Táxi do Gugu,9. Os pestinhas,9,6368326356112
05/03/2026,05:02,Show do Milhão,Programa de 28/03/2001,164,709a8e22-fef0-4dc6-ad77-ec858d744454
05/03/2026,06:00,Tentação,Programa de 07/05/1995,19,6372036415112
05/03/2026,06:45,Programa do Ratinho,Programa de 19/10/98,Episódio 35,98008609_programadoratinho_1998_035_01
05/03/2026,08:01,Eliana & Cia,Programa de 01/10/1997,118,005bbfac-a252-4792-9d23-6dc5b9e7bf45
05/03/2026,08:44,Eliana & Cia,Programa de 02/10/1997,119,c3207de3-4054-4380-99d0-1d27955ecc03
05/03/2026,09:23,Programa Livre,Programa de 19/08/1993,105,19006fd5-b71c-4632-b19c-010a2b4b0eb3
05/03/2026,10:34,Casos de Família,Programa de 18/06/2009,84,6373494544112
05/03/2026,11:28,Vamos Nessa,Programa de 07/07/1983,3,6375688623112
05/03/2026,12:08,Passa ou Repassa,Programa de 28/11/1995,59,6366911293112
05/03/2026,12:41,Táxi do Gugu,9. Os pestinhas,9,6368326356112
05/03/2026,12:56,Show do Milhão,Programa de 28/03/2001,164,709a8e22-fef0-4dc6-ad77-ec858d744454
05/03/2026,13:59,Tentação,Programa de 07/05/1995,19,6372036415112
05/03/2026,14:45,Programa do Ratinho,Programa de 19/10/98,Episódio 35,98008609_programadoratinho_1998_035_01
05/03/2026,16:00,Eliana & Cia,Programa de 01/10/1997,118,005bbfac-a252-4792-9d23-6dc5b9e7bf45
05/03/2026,16:43,Eliana & Cia,Programa de 02/10/1997,119,c3207de3-4054-4380-99d0-1d27955ecc03
05/03/2026,17:22,Programa Livre,Programa de 19/08/1993,105,19006fd5-b71c-4632-b19c-010a2b4b0eb3
05/03/2026,18:34,Casos de Família,Programa de 18/06/2009,84,6373494544112
05/03/2026,19:27,Vamos Nessa,Programa de 07/07/1983,3,6375688623112
05/03/2026,20:07,Passa ou Repassa,Programa de 28/11/1995,59,6366911293112
05/03/2026,20:41,Táxi do Gugu,9. Os pestinhas,9,6368326356112
05/03/2026,20:56,Show do Milhão,Programa de 28/03/2001,164,709a8e22-fef0-4dc6-ad77-ec858d744454
05/03/2026,21:59,Tentação,Programa de 07/05/1995,19,6372036415112
05/03/2026,22:44,Programa do Ratinho,Programa de 19/10/98,Episódio 35,98008609_programadoratinho_1998_035_01
06/03/2026,00:00,Eliana & Cia,Programa de 02/10/1997,119,c3207de3-4054-4380-99d0-1d27955ecc03
06/03/2026,00:39,Eliana & Cia,Programa de 03/10/1997,120,54234eb2-7e11-47f5-b0fb-a6af94c13b4c
06/03/2026,01:17,Programa Livre,Programa de 24/08/1993,106,14ea5098-4d4d-4620-86f3-ffb285bc929f
06/03/2026,02:14,Casos de Família,Programa de 19/06/2009,85,6373493892112
06/03/2026,03:07,Canta e Dança Minha Gente,Programa de 13/05/2001,19,6372121278112
06/03/2026,04:05,TV Animal,Programa de 04/06/1996,156,6366549386112
06/03/2026,04:39,Show do Milhão,Programa de 29/03/2001,165,7e27c21f-756c-4734-91d9-217a1f4af898
06/03/2026,05:41,Gol Show,Programa de 23/11/1997,5,6362805374112
06/03/2026,06:27,Programa do Ratinho,Programa de 20/10/98,Episódio 36,98008609_programadoratinho_1998_036_01
06/03/2026,08:03,Eliana & Cia,Programa de 02/10/1997,119,c3207de3-4054-4380-99d0-1d27955ecc03
06/03/2026,08:42,Eliana & Cia,Programa de 03/10/1997,120,54234eb2-7e11-47f5-b0fb-a6af94c13b4c
06/03/2026,09:19,Programa Livre,Programa de 24/08/1993,106,14ea5098-4d4d-4620-86f3-ffb285bc929f
06/03/2026,10:17,Casos de Família,Programa de 19/06/2009,85,6373493892112
06/03/2026,11:10,Canta e Dança Minha Gente,Programa de 13/05/2001,19,6372121278112
06/03/2026,12:08,TV Animal,Programa de 04/06/1996,156,6366549386112
06/03/2026,12:41,Show do Milhão,Programa de 29/03/2001,165,7e27c21f-756c-4734-91d9-217a1f4af898
06/03/2026,13:44,Gol Show,Programa de 23/11/1997,5,6362805374112
06/03/2026,14:30,Programa do Ratinho,Programa de 20/10/98,Episódio 36,98008609_programadoratinho_1998_036_01
06/03/2026,16:05,Eliana & Cia,Programa de 02/10/1997,119,c3207de3-4054-4380-99d0-1d27955ecc03
06/03/2026,16:44,Eliana & Cia,Programa de 03/10/1997,120,54234eb2-7e11-47f5-b0fb-a6af94c13b4c
06/03/2026,17:22,Programa Livre,Programa de 24/08/1993,106,14ea5098-4d4d-4620-86f3-ffb285bc929f
06/03/2026,18:19,Casos de Família,Programa de 19/06/2009,85,6373493892112
06/03/2026,19:12,Canta e Dança Minha Gente,Programa de 13/05/2001,19,6372121278112
06/03/2026,20:06,TV Animal,Programa de 04/06/1996,156,6366549386112
06/03/2026,20:40,Show do Milhão,Programa de 29/03/2001,165,7e27c21f-756c-4734-91d9-217a1f4af898
06/03/2026,21:42,Gol Show,Programa de 23/11/1997,5,6362805374112
06/03/2026,22:28,Programa do Ratinho,Programa de 20/10/98,Episódio 36,98008609_programadoratinho_1998_036_01
07/03/2026,00:04,Eliana & Cia,Programa de 06/10/1997,121,5cceeab9-8b0b-48e6-bec7-51af64f511dc
07/03/2026,00:41,Bom dia & Cia com Jacky ,Programa de 05/11/1998,34,d707574c-f186-42cb-84f4-40d0cb632588
07/03/2026,01:16,Casa da Angélica,Programa de 11/08/1994,263,6368820274112
07/03/2026,01:57,Fantasia,Programa de 16/01/1998,31,6376791534112
07/03/2026,04:20,Em Nome do Amor,Programa de 23/07/1995,31,6370479599112
07/03/2026,06:02,Viva a Noite,Programa de 18/11/1989,4,6352914912112
07/03/2026,08:00,Eliana & Cia,Programa de 06/10/1997,121,5cceeab9-8b0b-48e6-bec7-51af64f511dc
07/03/2026,08:38,Bom dia & Cia com Jacky ,Programa de 05/11/1998,34,d707574c-f186-42cb-84f4-40d0cb632588
07/03/2026,09:13,Show Maravilha,Programa de 25/12/1991,1180,6366375128112
07/03/2026,10:39,Programa Sergio Mallandro,Programa de 27/07/1995,34,6370289528112
07/03/2026,11:12,Casa da Angélica,Programa de 11/08/1994,263,6368820274112
07/03/2026,11:52,Fantasia,Programa de 16/01/1998,31,6376791534112
07/03/2026,14:16,Em Nome do Amor,Programa de 23/07/1995,31,6370479599112
07/03/2026,15:57,Eliana & Cia,Programa de 06/10/1997,121,5cceeab9-8b0b-48e6-bec7-51af64f511dc
07/03/2026,16:40,Bom dia & Cia com Jacky ,Programa de 05/11/1998,34,d707574c-f186-42cb-84f4-40d0cb632588
07/03/2026,17:16,Casa da Angélica,Programa de 11/08/1994,263,6368820274112
07/03/2026,17:59,Fantasia,Programa de 16/01/1998,31,6376791534112
07/03/2026,20:22,Em Nome do Amor,Programa de 23/07/1995,31,6370479599112
07/03/2026,22:03,Viva a Noite,Programa de 18/11/1989,4,6352914912112
08/03/2026,00:02,Alô Christina,Programa de 30/04/1997,1,6369300299112
08/03/2026,01:04,Casos de Família,Programa de 04/03/2015,46,6347929564112
08/03/2026,01:48,Divina Christina,1. Ela é Carioca,1,6363297470112
08/03/2026,02:24,Divina Christina,2. Entre altos e baixos,2,6363331468112
08/03/2026,02:52,Divina Christina,3. O Outro Lado da Rocha,3,6363342397112
08/03/2026,03:20,Divina Christina,4. A Vida Como Ela É,4,6363342605112
08/03/2026,03:58,Entrevistas do Jô,Entrevista com Hebe Camargo (16/08/1993),95,6364079318112
08/03/2026,04:16,De Frente com Gabi,Entrevista com Hebe Camargo (07/03/1998),Entrevista com Hebe Camargo (07/03/1998),6348920351112
08/03/2026,05:15,"Hebe, a Cara da Coragem",1. A Caipirinha de Taubaté,1,6359702742112
08/03/2026,05:55,"Hebe, a Cara da Coragem",2. A Vida é Uma Festa!,2,6359703307112
08/03/2026,06:32,"Hebe, a Cara da Coragem",3. Meu Corpo é Político,3,6359704897112
08/03/2026,07:10,"Hebe, a Cara da Coragem",4. Um Selinho de Qualidade,4,6359704909112
08/03/2026,07:50,"Hebe, a Cara da Coragem",5. O Castelo da Rainha,5,6359705498112
08/03/2026,08:24,Hebe,Programa de 08/03/1999,9,6369686083112
08/03/2026,09:55,Hebe,Programa de 08/03/2010,1,6369690834112
08/03/2026,11:43,Entrevistas do Jô,Entrevista com Hebe Camargo e Afnaldo Rayol (07/05/1997),3,6364080000112
08/03/2026,11:59,Alô Christina,Programa de 30/04/1997,1,6369300299112
08/03/2026,13:01,Casos de Família,Programa de 04/03/2015,46,6347929564112
08/03/2026,13:45,Divina Christina,1. Ela é Carioca,1,6363297470112
08/03/2026,14:22,Divina Christina,2. Entre altos e baixos,2,6363331468112
08/03/2026,14:50,Divina Christina,3. O Outro Lado da Rocha,3,6363342397112
08/03/2026,15:17,Divina Christina,4. A Vida Como Ela É,4,6363342605112
08/03/2026,15:56,Entrevistas do Jô,Entrevista com Hebe Camargo (16/08/1993),95,6364079318112
08/03/2026,16:13,De Frente com Gabi,Entrevista com Hebe Camargo (07/03/1998),Entrevista com Hebe Camargo (07/03/1998),6348920351112
08/03/2026,17:12,"Hebe, a Cara da Coragem",1. A Caipirinha de Taubaté,1,6359702742112
08/03/2026,17:52,"Hebe, a Cara da Coragem",2. A Vida é Uma Festa!,2,6359703307112
08/03/2026,18:30,"Hebe, a Cara da Coragem",3. Meu Corpo é Político,3,6359704897112
08/03/2026,19:07,"Hebe, a Cara da Coragem",4. Um Selinho de Qualidade,4,6359704909112
08/03/2026,19:47,"Hebe, a Cara da Coragem",5. O Castelo da Rainha,5,6359705498112
08/03/2026,20:21,Hebe,Programa de 08/03/1999,9,6369686083112
08/03/2026,21:52,Entrevistas do Jô,Entrevista com Hebe Camargo e Afnaldo Rayol (07/05/1997),3,6364080000112
08/03/2026,22:09,Hebe,Programa de 08/03/2010,1,6369690834112
09/03/2026,00:01,Eliana & Cia,Programa de 07/10/1997,123,bd98d191-5fde-422d-a2ab-319aeffc2d79
09/03/2026,00:39,Programa Livre,Programa de 03/11/1992,32,6374090804112
09/03/2026,01:35,Casos de Família,Programa de 22/06/2009,86,6373495724112
09/03/2026,02:29,Astros,Programa de 22/10/2008 ,29,6352182462112
09/03/2026,03:30,TV Animal,Programa de 13/11/1988,3,6351243348112
09/03/2026,04:01,Show do Milhão,Programa de 01/04/2001,166,f2ce47f1-968d-400f-8f01-6000ae7fc0e5
09/03/2026,05:02,Rei Majestade,Programa de  17/04/2006,3,6370873220112
09/03/2026,06:23,Programa do Ratinho,Programa de 21/10/98,Episódio 37,98008609_programadoratinho_1998_037_01
09/03/2026,08:01,Eliana & Cia,Programa de 07/10/1997,123,bd98d191-5fde-422d-a2ab-319aeffc2d79
09/03/2026,08:39,Programa Livre,Programa de 03/11/1992,32,6374090804112
09/03/2026,09:36,Casos de Família,Programa de 22/06/2009,86,6373495724112
09/03/2026,10:29,Astros,Programa de 22/10/2008 ,29,6352182462112
09/03/2026,11:31,TV Animal,Programa de 13/11/1988,3,6351243348112
09/03/2026,12:01,Show do Milhão,Programa de 01/04/2001,166,f2ce47f1-968d-400f-8f01-6000ae7fc0e5
09/03/2026,13:03,Rei Majestade,Programa de  17/04/2006,3,6370873220112
09/03/2026,14:24,Programa do Ratinho,Programa de 21/10/98,Episódio 37,98008609_programadoratinho_1998_037_01
09/03/2026,16:02,Eliana & Cia,Programa de 07/10/1997,123,bd98d191-5fde-422d-a2ab-319aeffc2d79
09/03/2026,16:40,Programa Livre,Programa de 03/11/1992,32,6374090804112
09/03/2026,17:37,Casos de Família,Programa de 22/06/2009,86,6373495724112
09/03/2026,18:30,Astros,Programa de 22/10/2008 ,29,6352182462112
09/03/2026,19:32,TV Animal,Programa de 13/11/1988,3,6351243348112
09/03/2026,20:02,Show do Milhão,Programa de 01/04/2001,166,f2ce47f1-968d-400f-8f01-6000ae7fc0e5
09/03/2026,21:04,Rei Majestade,Programa de  17/04/2006,3,6370873220112
09/03/2026,22:25,Programa do Ratinho,Programa de 21/10/98,Episódio 37,98008609_programadoratinho_1998_037_01
10/03/2026,00:03,Eliana & Cia,Programa de 08/10/1997,124,77f2fb51-5b37-4fa9-af7c-78f3c2710685
10/03/2026,00:43,Táxi do Gugu,Gugu demitido ,24,c73b2d09-9ec4-4ecb-9509-cc6639bdc686
10/03/2026,01:02,Programa Livre,Programa de 05/11/1992,70,f2784188-6c1a-4dc9-a24e-bc7134e4dd81
10/03/2026,01:35,Casos de Família,Programa de 23/06/2009,87,6373495137112
10/03/2026,02:28,Máquina da Fama,Programa de 09/06/2014,22,6375767809112
10/03/2026,03:27,Passa ou Repassa,Programa de 07/08/1994,28,6362513941112
10/03/2026,04:04,Táxi do Gugu,O escapamento,21,83a5bf88-48fb-47fe-8d7f-6720e4a2c20b
10/03/2026,04:14,Show do Milhão,Programa de 04/04/2001,167,8f03d30b-60a0-4f4d-8ae9-0ad5d86a657d
10/03/2026,05:11,Sete Meio ,Programa de 01/06/2003,9,6376343599112
10/03/2026,06:18,Programa do Ratinho,Programa de 22/10/98,Episódio 38,98008609_programadoratinho_1998_038_01
10/03/2026,08:02,Eliana & Cia,Programa de 08/10/1997,124,77f2fb51-5b37-4fa9-af7c-78f3c2710685
10/03/2026,08:42,Táxi do Gugu,Gugu demitido ,24,c73b2d09-9ec4-4ecb-9509-cc6639bdc686
10/03/2026,09:01,Programa Livre,Programa de 05/11/1992,70,f2784188-6c1a-4dc9-a24e-bc7134e4dd81
10/03/2026,09:34,Casos de Família,Programa de 23/06/2009,87,6373495137112
10/03/2026,10:27,Máquina da Fama,Programa de 09/06/2014,22,6375767809112
10/03/2026,11:26,Passa ou Repassa,Programa de 07/08/1994,28,6362513941112
10/03/2026,12:03,Táxi do Gugu,O escapamento,21,83a5bf88-48fb-47fe-8d7f-6720e4a2c20b
10/03/2026,12:13,Show do Milhão,Programa de 04/04/2001,167,8f03d30b-60a0-4f4d-8ae9-0ad5d86a657d
10/03/2026,13:10,Sete Meio ,Programa de 01/06/2003,9,6376343599112
10/03/2026,14:17,Programa do Ratinho,Programa de 22/10/98,Episódio 38,98008609_programadoratinho_1998_038_01
10/03/2026,16:01,Eliana & Cia,Programa de 08/10/1997,124,77f2fb51-5b37-4fa9-af7c-78f3c2710685
10/03/2026,16:40,Táxi do Gugu,Gugu demitido ,24,c73b2d09-9ec4-4ecb-9509-cc6639bdc686
10/03/2026,17:00,Programa Livre,Programa de 05/11/1992,70,f2784188-6c1a-4dc9-a24e-bc7134e4dd81
10/03/2026,17:33,Casos de Família,Programa de 23/06/2009,87,6373495137112
10/03/2026,18:26,Máquina da Fama,Programa de 09/06/2014,22,6375767809112
10/03/2026,19:25,Passa ou Repassa,Programa de 07/08/1994,28,6362513941112
10/03/2026,20:02,Táxi do Gugu,O escapamento,21,83a5bf88-48fb-47fe-8d7f-6720e4a2c20b
10/03/2026,20:12,Show do Milhão,Programa de 04/04/2001,167,8f03d30b-60a0-4f4d-8ae9-0ad5d86a657d
10/03/2026,21:09,Sete Meio ,Programa de 01/06/2003,9,6376343599112
10/03/2026,22:16,Programa do Ratinho,Programa de 22/10/98,Episódio 38,98008609_programadoratinho_1998_038_01
11/03/2026,00:00,Eliana & Cia,Programa de 09/10/1997,125,0eb9bb08-7270-47be-b794-46836219878e
11/03/2026,00:49,Táxi do Gugu,114. Os falsos policiais,114,6368324690112
11/03/2026,00:56,Programa Livre,Programa de 06/11/1992,71,6667ee50-0e5d-4a53-a09b-922006c45e5c
11/03/2026,02:00,Casos de Família,Programa de 24/06/2009,88,6373492980112
11/03/2026,02:53,"Canta e Dança, Minha Gente",Programa de 21/11/1999,Programa de 21/11/1999,6348924282112
11/03/2026,03:52,TV Animal,Programa de 16/11/1995,29,6365801091112
11/03/2026,04:38,Show do Milhão,Programa de 05/04/2001,168,b52cf8bd-d131-4724-981d-f0cedac036dd
11/03/2026,05:48,Porta da Esperança,Programa de 17/05/1987,8,6362546115112
11/03/2026,06:48,Programa do Ratinho,Programa de 23/10/98,Episódio 39,98008609_programadoratinho_1998_039_01
11/03/2026,08:01,Eliana & Cia,Programa de 09/10/1997,125,0eb9bb08-7270-47be-b794-46836219878e
11/03/2026,08:51,Táxi do Gugu,114. Os falsos policiais,114,6368324690112
11/03/2026,08:58,Programa Livre,Programa de 06/11/1992,71,6667ee50-0e5d-4a53-a09b-922006c45e5c
11/03/2026,10:01,Casos de Família,Programa de 24/06/2009,88,6373492980112
11/03/2026,10:55,"Canta e Dança, Minha Gente",Programa de 21/11/1999,Programa de 21/11/1999,6348924282112
11/03/2026,11:54,TV Animal,Programa de 16/11/1995,29,6365801091112
11/03/2026,12:39,Show do Milhão,Programa de 05/04/2001,168,b52cf8bd-d131-4724-981d-f0cedac036dd
